empresa,nome_vaga,localidade,descricao,requisitos,link,data_etl
NOMADGLOBAL,Analista de Dados Pleno em Fraude & PLD | Vaga afirmativa para mulheres,Remota,"O nosso produto chegou às lojas de aplicativos em novembro de 2020. De lá pra cá, mais de 3,5 milhões de pessoas descobriram com aNomadas vantagens de uma vida financeira internacional sem fronteiras e a nossa jornada está apenas começando. Nos orgulhamos em lançar produtos e serviços inovadores, provando que é possível ser global sem dor de cabeça e que investir em dólar pode ser para todo mundo. Para quem é Nomad, não existe ponto final. Continuamos evoluindo, inventando e reinventando. Transf...",Não informado,https://nomadglobal.inhire.app/vagas/07bff4c7-4017-44b5-99fe-577d765ed5fa/analista-de-dados-pleno-em-fraude-and-pld-or-vaga-afirmativa-para-mulheres,2026-03-13 13:54:20
NOMADGLOBAL,Analista de Dados Sênior (Crédito),Remota,"O nosso produto chegou às lojas de aplicativos em novembro de 2020. De lá pra cá, mais de 3,5 milhões de pessoas descobriram com aNomadas vantagens de uma vida financeira internacional sem fronteiras e a nossa jornada está apenas começando. Nos orgulhamos em lançar produtos e serviços inovadores, provando que é possível ser global sem dor de cabeça e que investir em dólar pode ser para todo mundo. Para quem é Nomad, não existe ponto final. Continuamos evoluindo, inventando e reinventando. Transf...",Não informado,https://nomadglobal.inhire.app/vagas/4ce414fd-057d-401d-a45c-58f134eacc04/analista-de-dados-senior-credito,2026-03-13 13:55:01
PAYTRACK,Analista de Dados - CS (RevOps) | Blumenau,Presencial,"Se você é apaixonado por resolver problemas e desenvolver soluções, e quer trabalhar com tecnologias de ponta em um ambiente dinâmico, esta vaga é para você! Somos umascale-upcom resultados incríveis, crescendo rápido e ainda com muito a ser estruturado, criado, testado, adaptado, expandido - grande oportunidade para colocar em prática seus conhecimentos, ser muito reconhecido, deixar sua marca na nossa história (e uma marcona no seu currículo). Buscamos resultados ambiciosos para os próximos an...",Não informado,https://paytrack.inhire.app/vagas/fad74a30-4453-4ca9-9796-03048c30e788/analista-de-dados-cs-revops-or-blumenau,2026-03-13 13:56:05
PAYTRACK,Analista de Dados Sênior | Blumenau,Presencial,"Se você é apaixonado por resolver problemas e desenvolver soluções, e quer trabalhar com tecnologias de ponta em um ambiente dinâmico, esta vaga é para você! Somos umascale-upcom resultados incríveis, crescendo rápido e ainda com muito a ser estruturado, criado, testado, adaptado, expandido - grande oportunidade para colocar em prática seus conhecimentos, ser muito reconhecido, deixar sua marca na nossa história (e uma marcona no seu currículo). Buscamos resultados ambiciosos para os próximos an...",Não informado,https://paytrack.inhire.app/vagas/1332a69e-31a6-4670-a6e5-2f6ed7cd3450/analista-de-dados-senior-or-blumenau,2026-03-13 13:56:46
QIVE,ANALISTA DE DADOS SENIOR,Remota,"Quem somos Na Qive, simplificamos o complexo para impulsionar o crescimento das empresas no Brasil. Transacionamos mais de 3,8 bilhões de notas fiscais e conectamos mais de 140 mil empresas, criando um elo poderoso entre o fiscal e o financeiro. Desde o início, projetamos soluções digitais que revolucionam o dia a dia das pessoas e empresas, sempre com a missão de tornar processos complexos mais simples, eficientes e eficazes. Sonhamos grande e agimos rápido, enfrentando desafios com entusiasmo ...","Experiência com análise de dados, BI ou áreas correlatas. | Experiência sólida como Analista de Dados, BI ou Analytics em ambientes de dados complexos. | Domínio deSQL, especialmente em ambientes analíticos (BigQuery ou similares). | Experiência prática comBigQuerypara consultas, modelagem e otimização de dados. | Experiência comDataformou ferramentas equivalentes de transformação e orquestração de dados.",https://qive.inhire.app/vagas/0be918a8-b53e-428d-a478-3bf95d7e043a/analista-de-dados-senior,2026-03-13 13:57:40
RADIX,Profissional  Cientista de Dados Sênior,Remota,"A primeira coisa que você precisa saber é que aqui você não vai cair na rotina. A Radix desenvolve soluções para empresas de diferentes setores e indústrias. Cada projeto tem suas tecnologias, soluções e prazos e você terá oportunidade de atuar e experimentar diferentes desafios. Além da nossa atuação pelo Brasil, com escritório no Rio de janeiro, São Paulo e Belo Horizonte, temos também filiais nos Estados Unidos, fazendo com que a Radix se consolide cada vez mais como uma empresaglobal. Quer f...",Não informado,https://radix.inhire.app/vagas/d7c2a00b-bb75-4e28-bd3b-943728e84f04/profissional-cientista-de-dados-senior,2026-03-13 13:58:02
SYMPLA,Analista de dados sênior | Remoto,Remoto,"A maior e melhor plataforma de ingressos do Brasil! 🩵 Existimos para simplificar a conexão das pessoas a momentos únicos, e temos orgulho de ter inovação no nosso DNA. Acreditamos em experiências significativas, descomplicadas e completas! E parasonhar grandecom a gente, estamos sempre buscando mais pessoas incríveis.",Não informado,https://sympla.inhire.app/vagas/0bba6fdc-307a-40b5-a7bb-3cc875f63d69/analista-de-dados-senior-or-remoto,2026-03-13 13:59:46
SYMPLA,Cientista de Dados Pleno,Remota,"A maior e melhor plataforma de ingressos do Brasil! 🩵 Existimos para simplificar a conexão das pessoas a momentos únicos, e temos orgulho de ter inovação no nosso DNA. Acreditamos em experiências significativas, descomplicadas e completas! E parasonhar grandecom a gente, estamos sempre buscando mais pessoas incríveis.",Não informado,https://sympla.inhire.app/vagas/5ec43471-4040-485b-a215-8ce92e2fe44b/cientista-de-dados-pleno,2026-03-13 13:59:53
UPFLUX,Analista Funcional (Processo & Dados) | Pleno,Remota,"Buscamos uma pessoaAnalista Funcionalpara atuar nagestão e implantação de projetos em saúde, sendo responsável por conectar as necessidades do negócio e da área clínica às soluções técnicas e analíticas da plataforma.Essa posição atua de ponta a ponta nos projetos, garantindogovernança, qualidade das entregas e sustentação, em ambientes complexos e altamente regulados.  ","Experiência comimplantação e/ou gestão de projetosem ambientes tecnológicos; | Forte capacidade decomunicação e tradução entre cliente e time técnico; | Vivência comlevantamento de requisitos, análise funcional e mapeamento de processos; | Experiência comgestão de demandas, priorização e acompanhamento de entregas; | Familiaridade com ferramentas comoJIRA, Notionou similares;",https://upflux.inhire.app/vagas/13e2be86-4468-4545-855b-4b54bc862ff8/analista-funcional-processo-and-dados-or-pleno,2026-03-13 14:01:10
UPFLUX,Engenheiro de Dados & Valor,Não informado,"Buscamos um Arquiteto de Soluções e Dados com perfil consultivo e visão sistêmica para a área de Engenharia de Valor, sendo o elo técnico em pré-vendas que viabiliza a materialização de Process Intelligence em ROI para nossos clientesEnterprise. Além de ser responsável pela infraestrutura de dados na pré-venda, atuará como um facilitador estratégico, entrando em discussões de alto nível com times de TI e Segurança da Informação.  Design de Integração:Projetar e viabilizar arquiteturas de extraçã...","Sólida experiência em arquitetura de dados, incluindo design de APIs, Webhooks, infraestrutura Cloud e microserviços;",https://upflux.inhire.app/vagas/1d68828f-73d2-4c71-9a5d-db83eb909f06/engenheiro-de-dados-and-valor,2026-03-13 14:01:18
