empresa,nome_vaga,localidade,descricao,requisitos,link,data_etl
AMCOM,Pessoa Cientista de Dados Sênior com foco em IA Generativa,Remota,"Somos inspired by tech powered by people. Por isso, precisamos de pessoas apaixonados por desafios e com sede de aprendizado contínuo. Buscamos por novos makers para sonharem com a gente, que enxerguem além do óbvio e que estejam prontos para se juntar a nós nessa jornada de transformação e crescimento. Estamos expandindo nossos horizontes e buscamos pessoas que compartilhem dessa mesma paixão pela tecnologia e pelo aprendizado contínuo. Se você se encaixa nesse perfil, venha fazer parte do noss...","Experiência sólida com Python; | Conhecimento avançado em Machine Learning e NLP; | Experiência prática com LLMs e IA Generativa; | Implementação de arquitetura RAG; | Experiência com bancos vetoriais (FAISS, Pinecone, Weaviate, Chroma ou similares);",https://amcom.inhire.app/vagas/2637bc80-302d-4e04-91f3-0e1dae96a0bb/pessoa-cientista-de-dados-senior-com-foco-em-ia-generativa,2026-03-16 08:18:09
CIELO,Analista de Dados Júnior | Vaga Exclusiva para PcD | Barueri (SP),Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. Somos um time quesonha no plural, oferecendo uma experiência completa e focando no bem-estar físico e mental de nossos mais de 7.000 colaboradores e suas famílias. Bora realizar seus sonhos com a gente!","Ensino Superior cursando e ou completo; | Domínio de ferramentas de análise Excel; | Conhecimento básico a intermediário em banco de dados (Ex.:SQL); | Aptidão em ferramentas de visualização de dados (Power Bi, Tableu, Looker e etc.); | Conhecimento básico em Python;",https://cielo.inhire.app/vagas/9761dc9b-0af4-4183-8236-da429c90163f/analista-de-dados-junior-or-vaga-exclusiva-para-pcd-or-barueri-sp,2026-03-16 08:21:12
CIELO,Coordenador (a) de Estratégia e Dados,Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Trabalhamos parasimplificar e impulsionar negócios para todas as pessoas,oferecendo soluções financeiras inteligentes. Aqui, investimos emtecnologia, promovemosdesenvolvimentoe fomentamos ainovaçãopara criar caminhos possíveis e gerar impacto positivo no mundo. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. So...","Ensino Superior Completo em  ADM, Finanças, Economia e/ ou afins; | Pós graduação completa em ADM., Finanças, Ciencias Contabeis, Eng. e/ou afins; | Sólida experiência em Finanças, Planejamento e/ou Estratégia; | Ser orientado a resultado, buscando sempre a melhoria dos processos existentes; | Excel e PowePoint avançado;",https://cielo.inhire.app/vagas/1d846478-6242-41fd-b2d7-4f0c90e48552/coordenador-a-de-estrategia-e-dados,2026-03-16 08:21:51
DB1,Analista de Dados Júnior,Presencial," Na DB1, cada linha de código, teste ou insight é uma chance de criar impacto real. Somos movidos pela curiosidade e pelo desejo de transformar problemas complexos em soluções que simplificam a vida das pessoas. Gostamos de experimentar, aprender e inovar, e por isso esse é o lugar para colocar seu talento à prova. Se você combina inteligência com uma vontade incansável de aprender e evoluir, e tem uma postura resiliente moldado por superações, já carrega muito daessência DB1.Aqui, cada desafio ...",Não informado,https://db1.inhire.app/vagas/790fd7ab-c7d7-46ac-aa90-4b56381c7968/analista-de-dados-junior,2026-03-16 08:22:32
GEX,Analista de Dados Sênior - Marketing Digital,Remota,"O time da GEX é formado por pessoas com garra — que aprendem fazendo, se envolvem de verdade com o que entregam e levam o trabalho a sério. Nos esforçamos todos os dias com o propósito de levareducação, saúde e qualidade de vidapara milhares de pessoas ao redor do mundo, com responsabilidade e honestidade. Aqui, valorizamos quem propõe, se envolve e tem vontade de crescer no time.Se você quer fazer parte de uma equipe colaborativa e que trabalha com intensidade, se inscreva e venha viver essa jo...",Não informado,https://gex.inhire.app/vagas/d631ac38-683f-45f3-9e31-718b90100807/analista-de-dados-senior-marketing-digital,2026-03-16 08:24:07
GRUPOESCALAR,Analista de Dados,presencial,"Missão do Cargo: Atuar como pilar de estruturação, controle e melhoria contínua da área de dados, promovendo uma cultura de agilidade, entregas com valor e visão estratégica. Será responsável por organizar os bancos de dados, facilitar as cerimônias ágeis e garantir a qualidade das entregas e da informação. Ser um protagonista na transformação digital. ",Superior em andamento ou completo; | Excel avançado,https://grupoescalar.inhire.app/vagas/101330a9-7ad3-4f8e-aed8-2d9a236eb62c/analista-de-dados,2026-03-16 08:24:58
KPMG,Analista de Dados,Não informado,"Inclusão e respeito à diversidade e equidade fazem parte do DNA da KPMG. Aqui valorizamos todas as pessoas, encorajando e empoderando os nossos profissionais para que se sintam parte das nossas conquistas. Independente da sua idade, gênero, raça, cor, credo, orientação, sexual, etnia, origem nacional ou deficiência, te convidamos a fazer a diferença. Venha fazer parte do time KPMG!","Formação em Ciência da Computação, análise e desenvolvimento de sistemas e áreas afins. | Capacidade de explicar conceitos técnicos de maneira clara e acessível para diferentes públicos. | Bons conhecimentos em Python. | Possuir experiência com SQL, Spark e databricks. | Desejável Power BI básico",https://kpmg.inhire.app/vagas/813d27b0-d4ea-4558-ac85-c23e781625a1/analista-de-dados,2026-03-16 08:27:18
KPMG,Analista de Dados (Power BI),Não informado,"Inclusão e respeito à diversidade e equidade fazem parte do DNA da KPMG. Aqui valorizamos todas as pessoas, encorajando e empoderando os nossos profissionais para que se sintam parte das nossas conquistas. Independente da sua idade, gênero, raça, cor, credo, orientação, sexual, etnia, origem nacional ou deficiência, te convidamos a fazer a diferença. Venha fazer parte do time KPMG!","Ensino superior em Ciência de Dados, Estatística, Engenharia, Economia, Administração, Sistemas de Informação, TI/Computação, Matemática ou áreas correlatas. | Power BI Desktop (modelagem, visuais, bookmarks, drillthrough): Avançado | Power BI Service (workspaces, apps, refresh, gateways, permissões): Intermediário/Avançado | Power Query (M) (ETL, merges, parâmetros, dataflows): Intermediário/Avançado | DAX (medidas, contexto de filtro, time intelligence, performance): Avançado",https://kpmg.inhire.app/vagas/f8cac218-5b40-4d01-b34d-aca0ada9cfb6/analista-de-dados-power-bi,2026-03-16 08:27:57
MJV,Analista DataViz,Não informado,"Descrição da Vaga:Buscamos um(a) Analista Data Viz com forte capacidade analítica e senso estético apurado para desenvolver dashboards interativos, intuitivos e eficientes. A pessoa será responsável por transformar dados em insights visuais claros, garantindo a melhor experiência para os usuários e stakeholders. Responsabilidades: Desenvolver dashboards e relatórios interativos em Power BI, com foco em usabilidade e performance.",Não informado,https://mjv.inhire.app/vagas/af15c708-a2e5-424a-89e6-3099177b2cec/analista-dataviz,2026-03-16 08:30:04
MJV,Analista de Dados,remoto,"Descrição da vaga Buscamos umAnalista de Dados Sêniorcom perfil analítico e técnico para atuar na vanguarda da tomada de decisão baseada em dados. O profissional será responsável por transformar grandes volumes de dados em insights acionáveis, demonstrando domínio em ferramentas de visualização e uma compreensão sólida de processos de ETL e infraestrutura de nuvem. Desenvolvimento de Dashboards: Criar e manter painéis de visão gerencial e executiva utilizando Tableau, garantindo uma experiência ...","Domínio em Visualização: Experiência avançada em Tableau para a criação de dashboards complexos e intuitivos. | Conhecimentos de Dados: Sólida experiência com SQL para consultas e manipulação de bancos de dados. | Experiência com ETL/Engenharia: Vivência com Alteryx ou ferramentas similares de preparação de dados, além de familiaridade com ecossistemas de nuvem, preferencialmente AWS (Athena, Glue, S3).",https://mjv.inhire.app/vagas/71bca440-9c9a-4de6-944c-6c0e9257d149/analista-de-dados,2026-03-16 08:30:11
