empresa,nome_vaga,localidade,descricao,requisitos,link,data_etl
INDICIUM,Administrador de Banco de Dados SQL Server - Remoto | Database Administrator SQL Server - Remote,Remoto,"Senior Database Administrator (DBA) – SQL Server As aSenior Database Administrator (DBA)specializing inSQL Server, you will manage and maintain SQL Server database systems, ensuring data integrity, performance, and security. You will lead complex initiatives, mentor junior DBAs, and act as a technical reference. Responsibilities include:","Experiência consolidada (8+ anos) em administração de banco de dados, com especialidade em SQL Server. | Profundo conhecimento em instalação, configuração e manutenção do SQL Server (versões 2012, 2014, 2016, 2019, 2022). | Experiência prática com estratégias de Backup e Recovery | Conhecimento avançado em segurança SQL Server | Experiência com requisitos de conformidade (LGPD, GDPR/HIPAA).",https://indicium.inhire.app/vagas/ba1a9600-e2d5-4ff5-b66b-48db8c37bd1f/administrador-de-banco-de-dados-sql-server-remoto-or-database-administrator-sql-server-remote,2026-03-17 14:49:28
INDICIUM,Engenheiro de Dados Júnior - Remoto | Junior Data Engineer - Remote,Remoto,"Responsável por criar e manter pipeline de dados para serem consumidos em aplicações cruciais internas e externas, e em análises que contribuem na tomada de decisão da empresa.  Suas funções incluem:","Experiência de pelo menos 2 anos em alguma linguagem de programação (Python, Java, Ruby, JavaScript, Scala, etc.); | Inglês intermediário; | Facilidade com ambiente Linux e Git; | Conhecimento intermediário em SQL; | Conhecimento em algoritmos e estrutura de dados;",https://indicium.inhire.app/vagas/0e001dbb-6715-44d2-99bb-b841b87ad5dc/engenheiro-de-dados-junior-remoto-or-junior-data-engineer-remote,2026-03-17 14:49:36
INDICIUM,Engenheiro de Dados Pleno - Remoto | Mid-Level Data Engineer - Remote,Remoto,"Responsável por criar e manter pipeline de dados para serem consumidos em aplicações cruciais internas e externas, e em análises que contribuem na tomada de decisão da empresa. Suas funções incluem: Usar API de serviços (internos e externos) para ingestão de dados em nossos processos de ELT (Extract Load and Transform);",Inglês avançado;,https://indicium.inhire.app/vagas/3005667d-e3a7-4da7-987a-28db9345b6a5/engenheiro-de-dados-pleno-remoto-or-mid-level-data-engineer-remote,2026-03-17 14:49:44
ALICE,Enfermagem I Enfermeira(o) de Coordenação de Cuidados,Presencial,"Na Alice, nossa missão é tornar o mundo mais saudável. Somos uma empresa de tecnologia que oferece planos de saúde empresariais. Nossa plataforma de cuidado contínuo garante que cada membro receba o cuidado certo, na hora certa e no lugar certo, proporcionando uma experiência excepcional. Impulsionada por AI, nossa jornada de saúde é simples de acessar, envolvente e altamente confiável. Já cuidamos de mais de 80 mil membros, com nível de satisfação de 4,8/5 (CSat), seja no atendimento 24 horas p...","Graduação em Enfermagem com registro ativo no COREN | Experiência com atendimento digital (chat, vídeo) ou navegação em saúde multidisciplinar | Especialização em Saúde da Família, Saúde Pública ou Clínica e Cirúrgica (em andamento ou concluída)",https://alice.inhire.app/vagas/397ce1f6-2a03-4f12-9c2a-71e5bc85d933/enfermagem-i-enfermeirao-de-coordenacao-de-cuidados,2026-03-17 14:50:36
AMCOM,Pessoa Cientista de Dados Sênior com foco em IA Generativa,Remota,"Somos inspired by tech powered by people. Por isso, precisamos de pessoas apaixonados por desafios e com sede de aprendizado contínuo. Buscamos por novos makers para sonharem com a gente, que enxerguem além do óbvio e que estejam prontos para se juntar a nós nessa jornada de transformação e crescimento. Estamos expandindo nossos horizontes e buscamos pessoas que compartilhem dessa mesma paixão pela tecnologia e pelo aprendizado contínuo. Se você se encaixa nesse perfil, venha fazer parte do noss...","Experiência sólida com Python; | Conhecimento avançado em Machine Learning e NLP; | Experiência prática com LLMs e IA Generativa; | Implementação de arquitetura RAG; | Experiência com bancos vetoriais (FAISS, Pinecone, Weaviate, Chroma ou similares);",https://amcom.inhire.app/vagas/2637bc80-302d-4e04-91f3-0e1dae96a0bb/pessoa-cientista-de-dados-senior-com-foco-em-ia-generativa,2026-03-17 14:51:12
AMCOM,Pessoa Cientista de Dados com IA Especialista,Remota,"Somos inspired by tech powered by people. Por isso, precisamos de pessoas apaixonados por desafios e com sede de aprendizado contínuo. Buscamos por novos makers para sonharem com a gente, que enxerguem além do óbvio e que estejam prontos para se juntar a nós nessa jornada de transformação e crescimento. Estamos expandindo nossos horizontes e buscamos pessoas que compartilhem dessa mesma paixão pela tecnologia e pelo aprendizado contínuo. Se você se encaixa nesse perfil, venha fazer parte do noss...","Experiência comprovada com IA Generativa e Modelos de Linguagem (LLMs); | Experiência no desenvolvimento de chatbots e sistemas conversacionais; | Conhecimento prático em LangChain e LangGraph; | Experiência com Machine Learning, do treinamento ao uso em produção; | Conhecimento em APIs e frameworks para desenvolvimento de serviços, incluindo exposição e integração de sistemas;",https://amcom.inhire.app/vagas/17893ebe-4149-4316-b437-11b78c08304b/pessoa-cientista-de-dados-com-ia-especialista,2026-03-17 14:51:20
CERC,Engenheiro de Dados (KYP),Remota,"Como Engenheiro de Dados, você irá: Você pode dar match com nossos desafios tendo: Obrigatório:","Conhecimento avançado em Python, SQL, Spark; | Vivência integração contínua e entrega contínua (CI/CD); | Vivência orquestração de pipelines de dados; | Vivência com metodologia ágil; | Vivência em algum dos serviços de plataformas cloud (GCP, AWS ou Azure)",https://cerc.inhire.app/vagas/bedc42b0-a7fb-475f-a810-2f564675218d/engenheiro-de-dados-kyp,2026-03-17 14:53:26
CIELO,Analista de Dados Júnior | Vaga Exclusiva para PcD | Barueri (SP),Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. Somos um time quesonha no plural, oferecendo uma experiência completa e focando no bem-estar físico e mental de nossos mais de 7.000 colaboradores e suas famílias. Bora realizar seus sonhos com a gente!","Ensino Superior cursando e ou completo; | Domínio de ferramentas de análise Excel; | Conhecimento básico a intermediário em banco de dados (Ex.:SQL); | Aptidão em ferramentas de visualização de dados (Power Bi, Tableu, Looker e etc.); | Conhecimento básico em Python;",https://cielo.inhire.app/vagas/9761dc9b-0af4-4183-8236-da429c90163f/analista-de-dados-junior-or-vaga-exclusiva-para-pcd-or-barueri-sp,2026-03-17 14:53:49
CIELO,Ciência de Dados Sênior com foco em IA,Remoto,"Somos mais que uma máquina, somos pessoas que transformam ecriam infinitas possibilidades. Na Cielo, a gente trabalha comautonomiapara escrever nossa própria jornada,liberdadepara ser quem a gente é, e a oportunidade defazer acontecer. Somos um time quesonha no plural, oferecendo uma experiência completa e focando no bem-estar físico e mental de nossos mais de 7.000 colaboradores e suas famílias. Bora realizar seus sonhos com a gente!","Ensino Superior Completo em Engenharias, Ciência da Computação, Sistema da Informação, Estatísitca, Economia e areas correlatas; | Conhecimentos avançados em linguagens de programação (Ex.: Python, R e etc); | Habilidades avançadas em bancos de dados (Ex.: SQL); | Domínio em desenvolvimento de Machine Learning e modelagens estatísticas; | Domínio em tecnologias de IA generativa e criação de agentes (Pydantic, LangChain, LangGraph, LLMs);",https://cielo.inhire.app/vagas/5f286a66-8571-4d50-9955-fcf61b3f17be/ciencia-de-dados-senior-com-foco-em-ia,2026-03-17 14:53:57
DB1,Analista de Dados Júnior,Presencial," Na DB1, cada linha de código, teste ou insight é uma chance de criar impacto real. Somos movidos pela curiosidade e pelo desejo de transformar problemas complexos em soluções que simplificam a vida das pessoas. Gostamos de experimentar, aprender e inovar, e por isso esse é o lugar para colocar seu talento à prova. Se você combina inteligência com uma vontade incansável de aprender e evoluir, e tem uma postura resiliente moldado por superações, já carrega muito daessência DB1.Aqui, cada desafio ...",Não informado,https://db1.inhire.app/vagas/790fd7ab-c7d7-46ac-aa90-4b56381c7968/analista-de-dados-junior,2026-03-17 14:55:21
GEX,Data View / Analista de Dados,Remota,"O time da GEX é formado por pessoas comGARRA— que aprendem fazendo, se envolvem de verdade com o que entregam e levam o trabalho a sério. Nos esforçamos todos os dias com o propósito de levareducação, saúde e qualidade de vidapara milhares de pessoas no Brasil e no mundo — com responsabilidade, agilidade e um toque humano em tudo o que fazemos. Aqui, valorizamos quempropõe, se envolve e quer crescer com a gente.Se você curte desafios, é comunicativo e busca um time colaborativo e de alta perform...",Experiência sólida comferramentas de BI e visualização de dados | Forte experiência comLooker (GCP) | Conhecimento emPower BIeTableau | Domínio deSQLpara exploração e validação de dados | Capacidade analítica estorytelling com dados,https://gex.inhire.app/vagas/974f67e0-7f6d-47c7-bcda-15756db4145f/data-view-analista-de-dados,2026-03-17 14:56:42
